parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
气温,高温,内涝风险,0.2193,0.2169,-0.0024,,,,,,,0.0024
对流有效位能CAPE,高,内涝风险,,,,0.2802,0.2779,-0.0023,,,,0.0023
风向,离岸,内涝风险,0.2193,0.2216,0.0023,,,,,,,0.0023
湿度,干燥,内涝风险,0.2193,0.2216,0.0023,,,,,,,0.0023
露点温度,高,内涝风险,,,,,,,0.5004,0.5027,0.0023,0.0023
下垫面硬化率,高,内涝风险,,,,0.2802,0.2779,-0.0023,,,,0.0023
风力,强,内涝风险,,,,0.2802,0.2779,-0.0023,,,,0.0023
地下水埋深,浅,内涝风险,,,,0.2802,0.278,-0.0022,,,,0.0022
风向,向岸,内涝风险,0.2193,0.2171,-0.0022,,,,,,,0.0022
地下水埋深,深,内涝风险,,,,0.2802,0.2824,0.0022,,,,0.0022
湿度,湿润,内涝风险,0.2193,0.2171,-0.0022,,,,,,,0.0022
露点温度,低,内涝风险,,,,,,,0.5004,0.4982,-0.0022,0.0022
潮汐影响,无,内涝风险,,,,0.2802,0.2822,0.002,,,,0.002
建筑密度,低,内涝风险,,,,0.2802,0.2821,0.0019,,,,0.0019
湖泊调蓄能力,强,内涝风险,,,,0.2802,0.2821,0.0019,,,,0.0019
气压,正常,内涝风险,,,,0.2802,0.282,0.0018,,,,0.0018
湖泊调蓄能力,弱,内涝风险,,,,0.2802,0.2784,-0.0018,,,,0.0018
潮汐影响,大,内涝风险,,,,0.2802,0.2785,-0.0017,,,,0.0017
建筑密度,高,内涝风险,,,,0.2802,0.2785,-0.0017,,,,0.0017
气压,偏低,内涝风险,,,,0.2802,0.2785,-0.0017,,,,0.0017
气温,低温,内涝风险,,,,0.2802,0.2817,0.0015,,,,0.0015
气温,高温,内涝风险,,,,0.2802,0.2787,-0.0015,,,,0.0015
湿度,湿润,内涝风险,,,,0.2802,0.2787,-0.0015,,,,0.0015
湿度,干燥,内涝风险,,,,0.2802,0.2817,0.0015,,,,0.0015
风向,向岸,内涝风险,,,,0.2802,0.2787,-0.0015,,,,0.0015
风向,离岸,内涝风险,,,,0.2802,0.2817,0.0015,,,,0.0015
露点温度,低,内涝风险,0.2193,0.2207,0.0014,,,,,,,0.0014
露点温度,高,内涝风险,0.2193,0.218,-0.0013,,,,,,,0.0013
下垫面硬化率,中,内涝风险,,,,,,,0.5004,0.5013,0.0009,0.0009
露点温度,高,内涝风险,,,,0.2802,0.2793,-0.0009,,,,0.0009
露点温度,低,内涝风险,,,,0.2802,0.2811,0.0009,,,,0.0009
潮汐影响,小,内涝风险,,,,,,,0.5004,0.5011,0.0007,0.0007
河道水位,警戒,内涝风险,,,,,,,0.5004,0.5011,0.0007,0.0007
下垫面硬化率,中,内涝风险,0.2193,0.2188,-0.0005,,,,,,,0.0005
建筑密度,中,内涝风险,,,,,,,0.5004,0.5009,0.0005,0.0005
道路积水历史频率,中,内涝风险,,,,,,,0.5004,0.5009,0.0005,0.0005
潮汐影响,小,内涝风险,0.2193,0.2189,-0.0004,,,,,,,0.0004
河道水位,警戒,内涝风险,0.2193,0.2189,-0.0004,,,,,,,0.0004
下垫面硬化率,中,内涝风险,,,,0.2802,0.2799,-0.0003,,,,0.0003
道路积水历史频率,中,内涝风险,0.2193,0.2191,-0.0002,,,,,,,0.0002
道路积水历史频率,中,内涝风险,,,,0.2802,0.28,-0.0002,,,,0.0002
潮汐影响,小,内涝风险,,,,0.2802,0.28,-0.0002,,,,0.0002
河道水位,警戒,内涝风险,,,,0.2802,0.28,-0.0002,,,,0.0002
建筑密度,中,内涝风险,0.2193,0.2191,-0.0002,,,,,,,0.0002
建筑密度,中,内涝风险,,,,0.2802,0.28,-0.0002,,,,0.0002
坡向,阴坡,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
坡向,阳坡,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
坡向,阳坡,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
坡向,阳坡,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
坡度,陡,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
坡度,陡,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
坡向,阴坡,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
坡向,阴坡,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地形起伏度,大,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地形起伏度,大,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
坡度,缓,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
坡度,缓,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
绿地率,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
前期土壤含水量,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
前期土壤含水量,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
前期土壤含水量,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
降水强度,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
降水强度,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
绿地率,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
绿地率,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
地形起伏度,小,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
地形起伏度,小,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地形起伏度,小,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地形起伏度,大,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
河网密度,高,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地表粗糙度,小,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
坡度,缓,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
坡度,陡,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
河网密度,高,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
河网密度,高,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
河网密度,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
河网密度,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
汇流面积,大,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
汇流面积,大,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
汇流面积,大,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
汇流面积,小,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
河网密度,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
河网密度,低,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
河网密度,低,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
河网密度,低,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
沟谷密度,高,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
沟谷密度,高,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
沟谷密度,高,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
沟谷密度,中,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
沟谷密度,中,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
沟谷密度,中,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
沟谷密度,低,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
沟谷密度,低,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
沟谷密度,低,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
地表粗糙度,大,内涝风险,,,,,,,0.5004,0.5004,0.0,0.0
地表粗糙度,大,内涝风险,,,,0.2802,0.2802,0.0,,,,0.0
地表粗糙度,大,内涝风险,0.2193,0.2193,0.0,,,,,,,0.0
