ORIG_FID,Flood_Sum,Aspect_Mea,Dem_Mean,Dem_Std,Slope_Mean,Impervious,WaterBody_,WorldPop_M,evp2021,pre2021,prs2021,rhu2021,Light_N,HenanPr,rain0715,rain0716,rain0717,rain0718,rain0719,rain0720,rain0721,rain0722,rain0723,rain0724,rain0725,Join_Count,FloodArea,Label,newLabel
29832,148,156.1679993,260.881012,16.8745003,7.7389302,1004,0,12.2728004,1234.880005,1168.209961,986.2360229,60.0357018,1.18466,115.8539963,0,0,0,0,58.2085991,115.8539963,48.0388985,0,0,0,0,0,#N/A,,
29833,35,165.6799927,308.2290039,13.3339996,6.3246999,23,0,10.9959002,1232.640015,1180.369995,983.1339722,60.1193008,1.12508,115.3850021,0,0,0,0,58.950901,115.3850021,48.087101,0,0,0,0,0,#N/A,,
29834,86,162.7929993,319.7669983,6.2299199,4.5283599,243,0,12.6131001,1230.589966,1192.130005,980.2130127,60.1963997,1.72677,114.9169998,0,0,0,0,59.6931992,114.9169998,48.1352005,0,0,0,0,0,#N/A,,
29835,212,124.7890015,325.526001,7.8815799,3.19101,1796,0,17.4754009,1230.890015,1199.209961,979.434021,60.198101,3.29897,114.4489975,0,0,0,0,60.4355011,114.4489975,48.1833992,0,0,0,0,0,#N/A,,
29836,831,140.5330048,325.7210083,4.0482502,2.12533,2403,0,23.2113991,1231.310059,1206.050049,978.7620239,60.1960983,4.49542,113.9810028,0,0,0,0,61.1777,113.9810028,48.2314987,0,0,0,0,0,831,,
29837,544,215.276001,313.6579895,5.6452899,2.5760601,2462,0,22.0914993,1233.119995,1210.130005,979.3579712,60.1498985,3.20276,113.5080032,0,0,0,0,61.4648018,113.5080032,48.2559013,0,0,0,0,0,544,,
29838,559,216.4429932,289.4429932,9.7261105,6.6880398,366,0,14.4658003,1234.880005,1214.280029,979.9169922,60.1050987,1.82821,113.0339966,0,0,0,0,61.6388016,113.0339966,48.2743988,0,0,0,0,0,559,,
29839,116,183.5449982,293.6130066,5.1399202,2.6248901,245,0,13.0339003,1236.160034,1219.410034,980.0449829,60.0769005,1.50135,112.5599976,0,0,0,0,61.8128014,112.5599976,48.2928009,0,0,0,0,0,116,,
29840,24,110.2350006,309.4769897,18.4174004,10.0451002,936,0,2.9519501,1216.400024,1144.680054,978.1339722,60.5672989,1.43109,116.9639969,0,0,0,0,54.7873001,116.9639969,47.510601,0,0,0,0,0,#N/A,,
29841,36,147.602005,325.3680115,23.7851009,10.4389,313,0,1.5623699,1215.51001,1153.939941,976.2340088,60.603199,0.94445,117.6940002,0,0,0,0,54.3848991,117.6940002,47.6237984,0,0,0,0,0,#N/A,,
29842,4,165.7969971,376.2399902,22.8253002,14.5279999,0,0,0,1215.01001,1162.449951,974.6790161,60.6268997,0.765023,118.4240036,0,0,0,0,53.9824982,118.4240036,47.7370987,0,0,0,0,0,#N/A,,
29843,13,202.1909943,354.6040039,22.0039997,16.3822994,0,0,0,1219,1161.98999,977.21698,60.5052986,0.81602,118.1940002,0,0,0,0,54.4971008,118.1940002,47.7981987,0,0,0,0,0,#N/A,,
29844,74,180.845993,277.196991,33.1181984,13.6897001,1330,0,3.46135,1223.079956,1161.390015,979.8259888,60.3811989,1.2865601,117.7259979,0,0,0,0,55.239399,117.7259979,47.8462982,0,0,0,0,0,#N/A,,
29845,644,158.5370026,230.9830017,4.3661399,2.32671,976,264,8.8811197,1228.079956,1158.969971,983.2839966,60.2279015,1.73748,117.2580032,0,0,0,0,55.9817009,117.2580032,47.8945007,0,0,0,0,0,#N/A,,
29846,3166,132.5240021,210.7449951,19.7339993,10.1738005,15,1088,10.3470001,1232.780029,1157.140015,986.4730225,60.0842018,1.70595,116.7900009,0,0,0,0,56.723999,116.7900009,47.9426003,0,0,0,0,0,#N/A,,
29847,749,133.1620026,229.1629944,3.6746299,1.87854,357,0,9.2380896,1233.969971,1162.410034,986.4749756,60.0555992,1.43751,116.3219986,0,0,0,0,57.466301,116.3219986,47.990799,0,0,0,0,0,#N/A,,
29848,0,228.4720001,410.6549988,38.6431007,19.9904003,0,0,0,1197.160034,1124.790039,969.5570068,61.1519012,0.968735,110.8939972,0,0,0,0,58.3722992,110.8939972,46.6287994,0,0,0,0,0,#N/A,,
29849,161,251.2319946,408.7680054,38.6548996,20.3901997,254,81,0,1203.229981,1119.810059,973.9450073,60.9585991,1.5062799,111.8519974,0,0,0,0,57.6040001,111.8519974,46.7178993,0,0,0,0,0,#N/A,,
29850,224,202.4049988,366.7109985,23.9151001,13.8455,1475,25,0.835526,1209.109985,1115.209961,978.1619873,60.7714996,1.84254,112.5820007,0,0,0,0,57.2015991,112.5820007,46.8311005,0,0,0,0,0,#N/A,,
29851,240,273.7189941,319.2669983,26.1476994,13.0632,979,0,3.51195,1212.76001,1115.170044,980.3599854,60.6576004,1.97621,113.3130035,0,0,0,0,56.7991982,113.3130035,46.9444008,0,0,0,0,0,#N/A,,
29852,235,188.6179962,266.9790039,8.9844704,3.35759,2092,0,19.8502998,1216.109985,1115.73999,982.2810059,60.5536003,2.9091001,114.0429993,0,0,0,0,56.396801,114.0429993,47.0575981,0,0,0,0,0,#N/A,,
29853,234,213.0110016,284.0079956,16.5998993,7.1269698,1770,0,13.6360998,1215.829956,1123.630005,980.927002,60.5677986,6.00741,114.7730026,0,0,0,0,55.9944,114.7730026,47.1708984,0,0,0,0,0,#N/A,,
29854,13,120.5029984,299.4769897,12.7941999,7.25068,651,0,5.2514,1215.619995,1131.410034,979.6229858,60.5802002,6.3080401,115.5029984,0,0,0,0,55.5919991,115.5029984,47.2840996,0,0,0,0,0,#N/A,,
29855,34,126.0630035,300.2330017,12.4386997,7.57969,570,0,3.7086501,1216.060059,1137.939941,978.9249878,60.5719986,3.0772901,116.2340012,0,0,0,0,55.1896019,116.2340012,47.3973999,0,0,0,0,0,#N/A,,
29856,6,131.8209991,506.5209961,30.7801991,20.1709995,394,0,0,1182.150024,1126.729981,960.440979,61.6300011,1.16866,103.3880005,0,0,0,0,67.3421021,103.3880005,46.6631012,0,0,0,0,0,#N/A,,
29857,41,200.5740051,490.4060059,25.0380993,20.1039009,169,0,0,1183.719971,1130.560059,960.7390137,61.5806999,0.926414,105.2639999,0,0,0,0,65.0997009,105.2639999,46.6544991,0,0,0,0,0,#N/A,,
29858,0,185.7389984,534.6339722,29.6949997,19.5473003,0,0,0,1185.619995,1133.73999,961.3330078,61.5209007,0.578762,107.1409988,0,0,0,0,62.8572006,107.1409988,46.6459999,0,0,0,0,0,#N/A,,
